,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed
4444,"Alienware Aurora R13 Gaming Desktop - Intel Core i7-12700F, 16GB DDR5 RAM, 512GB SSD + 1TB HDD, RTX 3060Ti 8GB GDDR6, Air Cooled, 6 Months Dell Migrate Services, Windows 11 Home - Lunar Light",3.4 out of 5 stars,4,"$1,901..64",Core i7,1 TB,16 GB,4.9 GHz
4445,"SkyTech Archangel 3.0 Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.6GHz, RTX 3060 12GB, 1TB SSD, 16GB DDR4 3200, RGB Fans, AC WiFi, 600W Gold PSU, Windows 10 Home 64-bit, White",4.4 out of 5 stars,243,"$1,399..99",Ryzen 5 3600,1 TB,16 GB,3.60 GHz
4446,"Acer Aspire TC-875-UR13 Desktop, 10th Gen Intel Core i5-10400 6-Core Processor, 8GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax WiFi 6, USB 3.2 Type C, Windows 10 Home",3.6 out of 5 stars,6,$649..98,Intel Core i5,512 GB,8 GB,4.3 GHz
4447,"HP ProDesk 600G1 Desktop Computer PC, Intel i5 Quad Core Gen 4, 16GB DDR3 RAM, 4TB HDD Hard Drive, 1080p Webcam, New 23.6"" FHD LED Monitor, RGB Keyboard and Mouse, Win 10 Pro (Renewed)",2.7 out of 5 stars,5,$649..74,-,4 TB,16 GB,3.20 GHz
4448,Dell Optiplex 3040 Micro Desktop - Intel Core i5-6500T 8GB 500GB Windows 10 Pro,NO RATING,NO NUM RATING,$649..50,Core i5,500 GB,8 GB,2.50 GHz
4449,Dell Optiplex 3040 Micro Desktop | Intel Core 6th Generation i5-6500T | 8 GB DDR3L | 500 GB 7200 RPM | Windows 10 Pro,1.0 out of 5 stars,1,$649..50,Core i5,500 GB,8 GB,-
4450,Lenovo ThinkCentre M720q Desktop PC,1.0 out of 5 stars,1,$649..00,Core i3,1024 GB,4 GB,3.1 GHz
4451,Dell OptiPlex 5070 Desktop Computer - Intel Core i7-9700 - 8GB RAM - 500GB HDD - Small Form Factor,5.0 out of 5 stars,4,,Core i7,500 GB,8 GB,3 GHz
4452,"Lenovo ideacentre 510A - 90GV0003US (Core i7-7700/16GB (8GB x 2)/2TB/Intel HD Graphics 630/Windows 10) Desktop, Gun Metal",3.4 out of 5 stars,10,,None,2000 GB,16 GB,3.6 GHz
4453,"(Renewed) Periphio Portal Gaming PC Desktop Computer Tower, Intel Quad Core i5 3.2GHz, 16GB RAM, 120GB SSD + 500GB 7200 RPM HDD, Windows 10, Nvidia GT1030 2GB Graphics Card, HDMI, Wi-Fi",4.4 out of 5 stars,141,$648..99,Intel Core i5,500 GB,16 GB,3.50 GHz
4454,"HP EliteDesk 800G2 Micro Desktop Computer PC, Intel Quad Core i5, 16GB RAM, 512 GB SSD, Windows 10 Pro, 23.6 Periphio Monitor, New Periphio Webcam, Periphio Wireless Keyboard & Mouse (Renewed)",NO RATING,NO NUM RATING,$645..83,Core i5,500 GB,16 GB,3.20 GHz
4455,"Periphio Gaming PC Tower Desktop Computer, Intel Quad Core i5 3.2GHz, 8GB RAM, 120GB SSD + 1TB 7200 RPM HDD, Windows 10, GTX 1050TI Graphics Card, RGB, HDMI, Wi-Fi (Renewed)",NO RATING,NO NUM RATING,$644..99,Core i5,120 GB,8 GB,3.20 GHz
4456,Dell OptiPlex 3070 Desktop Computer - Intel Core i5-9500T - 8GB RAM - 256GB SSD - Micro PC,3.6 out of 5 stars,3,,Core i5,256 GB,8 GB,2.2 GHz
4457,"HP 800 G2 SFF Computer Desktop PC, Intel Core i5-6500 3.2GHz Processor, 32GB Ram, 2TB SSD, Wireless Keyboard & Mouse, WiFi | Bluetooth, HP 23.8 LCD Monitor, Windows 10 Pro (Renewed)",4.6 out of 5 stars,3,$639..99,Core i5,2 TB,32 GB,3.20 GHz
4458,"HP 600 G2 ProDesk SFF Desktop, Intel Quad-Core i5 6500 Upto 3.6GHz, 32GB RAM, 2TB SSD, HD Graphics 530 4K / 3-Monitor Support, Wi-Fi, Bluetooth, HDMI, DisplayPort - Windows 10 Pro (RENEWED)",5.0 out of 5 stars,1,$639..99,Intel Core I5 6500,2 TB,32 GB,3.60 MHz
4459,"Hp Slimline i7 Six-Core Premium Performance Pro Flagship 2018 Newest Desktop, 8th Gen Intel i7-8700 up to 4.6GHz 16GB DDR4 1TB 7200RMP HDD DVD Wireless-AC HDMI Bluetooth Win 10 (Renewed)",5.0 out of 5 stars,1,,Core i7,1 TB,16 GB,3.20 GHz
4460,"Hp Slimline i7 Six-Core Premium Performance Pro Flagship 2018 Newest Desktop, 8th Gen Intel i7-8700 up to 4.6 GHz, 16GB DDR4 RAM, 1TB 7200RMP HDD, DVD, Wireless-AC, HDMI, Bluetooth, Windows 10",2.8 out of 5 stars,16,,Core i7,1 TB,16 GB,3.20 GHz
4461,Newest HP Premium Desktop | AMD Ryzen 7 4700G 8-Core Upto 4.4GHz | 8GB RAM | 256GB PCIe SSD | AMD Radeon Graphics | Windows 10 Home | Keyboard and Mouse,4.1 out of 5 stars,19,$639..00,AMD R Series,256 GB,8 GB,3.60 GHz
4462,"RGB Gaming PC Desktop HP Computer | Intel Quad-Core i5 Processor GeForce GT 730 (2GB) GPU NVME M.2 Solid State Storage 512GB + 1TB HDD 16GB DDR4 RAM WiFi Bluetooth Windows 10 (Renewed), Black, 800G2",5.0 out of 5 stars,1,$638..97,Core i5,1 TB,16 GB,3.20 GHz
4463,Lenovo Desktop M710T 1 TB SATA Windows 10 Pro - 10M9000RUS ThinkCentre M710T,4.0 out of 5 stars,1,$633..99,8032,1000 GB,8 GB,3 GHz
4464,"HP EliteDesk 8200 Business Desktop PC - Intel i7, 16GB Ram, 500GB SSD, Windows 10 Pro 64bit, New 24 Monitor, RGB Productivity Bundle (Renewed)",4.1 out of 5 stars,133,$633..65,Core i7,500 GB,16 GB,3.40 GHz
4465,"HP 800G2 PC Desktop Computer, i5-6500, 8GB DDR4 RAM 240GB SSD, Windows 10 Pro, New 23.6 FHD LED Monitor, New 1080p Webcam, New 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi (Renewed)",1.0 out of 5 stars,2,$632..89,Core i5,240 GB,8 GB,3.20 GHz
4466,"Acer Aspire TC-885-UA92 Desktop, 9th Gen Intel Core i5-9400, 12GB DDR4, 512GB SSD, 8X DVD, 802.11AC Wifi, USB 3.1 Type C, Windows 10 Home, Black",4.5 out of 5 stars,"1,630",$629..99,Core i5,512 GB,12 GB,4.1 GHz
4467,"HP Z240 Workstation SFF Desktop PC, Intel Core i5-6500 Upto 3.60GHz, 32GB RAM, 2TB SSD, AMD Radeon HD 8570 1GB 4K, DisplayPort, HDMI, DVI, AC Wi-Fi, Bluetooth - Windows 10 Pro (RENEWED)",4.2 out of 5 stars,21,$629..99,Core i5,2 TB,32 GB,3.60 GHz
4468,Desktop TC M720S I59400 8G 1TB W10P,NO RATING,NO NUM RATING,$629..99,Core i5-8200Y,1 TB,8 GB,2.9 GHz
4469,"Acer Aspire TC-885-ACCFLi3O Desktop, 8th Gen Intel Core i3-8100, 8GB DDR4 + 16GB Optane Memory, 1TB HDD, 8X DVD, 802.11ac WiFi, Windows 10 Home",4.3 out of 5 stars,386,$629..99,Core i3,1 TB,8 GB,3.6 GHz
