,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
2352,"Skytech Gaming Archangel Computer PC Desktop – Ryzen 5 5600X 3.7GHz, RTX 3060 TI 8G, 1TB SSD, 16GB DDR4,White & Sceptre 30-inch Curved Monitor 21:9 2560x1080 Ultra Wide HDMI DisplayPort, Metal Black",0.0/0,0,1989.96,other,0.0 GB,16.0 GB,3.7 GHz,SkyTech,0,0,GB,16.0,3.7,0.0 GB
2353,"CLX Set Gaming Desktop - Liquid Cooled Intel Core i7 11700KF 3.6GHz 8-Core Processor, 32GB DDR4 Memory, GeForce RTX 3060 12GB GDDR6 Graphics, 500GB SSD, 4TB HDD, WiFi, Windows 11 Home 64-bit, Black",5.0/5,2,1989.49,Intel Core i7,4 TB,32.0 GB,3.6 GHz,CLX,0,1,GB,32.0,3.6,4000.0 GB
2354,"CLX Set Gaming Desktop - AMD Ryzen 5 5600X 3.7Ghz 6-Core Processor, 16GB DDR4 Memory, GeForce RTX 3070 8GB GDDR6 Graphics, 240GB SSD, 2TB HDD, WiFi, Windows 10 Home 64-bit",0.0/0,0,1989.49,Ryzen 5,2 TB,16 GB,3.7 GHz,CLX,0,0,GB,16.0,3.7,2000.0 GB
2355,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 32GB RAM, 6TB HDD (3.5), GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Display Port, Win 10 Pro) with Hub",0.0/0,0,1989.0,Intel Core i5,6 TB,32 GB,2.60 GHz,Lenovo,1,0,GB,32.0,2.6,6000.0 GB
2356,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 8GB RAM, 8TB SSD + 6TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1989.0,Intel Core i7,14000 GB,8 GB,2.50 GHz,Dell,0,0,GB,8.0,2.5,14000.0 GB
2357,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 16GB RAM, 8TB SSD + 4TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1989.0,Intel Core i7,12000 GB,16 GB,2.50 GHz,Dell,0,0,GB,16.0,2.5,12000.0 GB
2359,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i5-8500 6-Core Processor up to 4.10 GHz, 64GB DDR4 Memory, 512GB SSD + 3TB 7200 RPM Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1979.99,Intel Core i5,3512 GB,64 GB,3.00 GHz,Dell,0,0,GB,64.0,3.0,3512.0 GB
2360,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 24GB RAM, 8TB SSD + 3TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1979.0,Intel Core i7,11000 GB,24 GB,2.50 GHz,Dell,0,0,GB,24.0,2.5,11000.0 GB
2361,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 32GB RAM, 8TB SSD + 1TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1979.0,Intel Core i7,9000 GB,32 GB,2.50 GHz,Dell,0,0,GB,32.0,2.5,9000.0 GB
2362,"2021 Latest Dell XPS 8940 Desktop - 11th Gen Intel Core i7-11700K up to 5.0 GHz CPU, 8GB RAM, 8TB SSD + 2TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10",0.0/0,0,1979.0,Intel Core i7,10000 GB,8 GB,3.60 GHz,Dell,0,0,GB,8.0,3.6,10000.0 GB
