,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
0,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), Win 10 Pro) with MS 365 Personal, Hub",0.0/0,0,8679.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0 GB
1,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",0.0/0,0,8589.0,Intel Core i7,16 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,16000.0 GB
2,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",0.0/0,0,8589.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,8000.0 GB
3,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",0.0/0,0,8569.0,Intel Core i7,16 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,16000.0 GB
4,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",0.0/0,0,8569.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,8000.0 GB
5,Adamant Custom 24-Core Video Editing Rendering Modelling Workstation Desktop Computer System AMD Threadripper 3960X 3.8Ghz Rog Strix 256Gb DDR4 5TB HDD 1TB NVMe SSD 1000W GeForce RTX 3090 24Gb,0.0/0,0,8499.99,AMD R Series,5 TB,256 GB,3.80 GHz,Adamant,0,0,GB,256.0,3.8,5000.0 GB
6,"Velztorm Galax CTO SFF Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, RTX 3080 Ti 12GB, 128GB DDR4, 8TB PCIe SSD, WiFi-N, RGB Fans, 750W PSU, Black, Win 10 Pro)",0.0/0,0,8248.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0 GB
7,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 10GB, AC WiFi, 750W PSU, RGB Light, W10H)",0.0/0,0,8178.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0 GB
8,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11H)",0.0/0,0,8128.0,Intel Core i9,8 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,8000.0 GB
9,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD + 6TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10H)",0.0/0,0,8028.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0 GB
10,"Velztorm Custom Built Powerful Gaming Desktop PC (AMD Ryzen 9-5950X 16-Core, 128GB RAM, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3090, WiFi, 2xUSB 3.2, 1xUSB 3.0, Win 10 Home)",0.0/0,0,7778.0,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,2000.0 GB
11,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0/0,0,7748.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0 GB
13,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3070, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,7698.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
15,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 64GB DDR5 4800MHz RAM, 2TB PCIe SSD+6TB HDD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0/0,0,7648.0,Intel Core i9,2 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,2000.0 GB
16,"Velztorm Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled-AMD Ryzen 9-5900X 12-Core, GeForce RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD+6TB HDD, 360mm AIO,VR Ready,750W PSU,WiFi-N,Win10Home",0.0/0,0,7578.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0 GB
17,"Velztorm Ossix CTO SFF Gaming Desktop PC (AMD Ryzen 7 5800X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3070 8GB, RGB Fans, 750W PSU, WiFi 4, Win 10 Home)",0.0/0,0,7428.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,0,GB,128.0,3.8,8000.0 GB
18,Adamant Custom 24-Core Video Editing Rendering Modelling Workstation Desktop Computer System AMD Threadripper 3960X 3.8Ghz Rog Strix 64Gb DDR4 5TB HDD 1TB NVMe SSD 1000W GeForce RTX 3090 24Gb,0.0/0,0,7399.99,AMD R Series,5 TB,64 GB,3.80 GHz,Adamant,0,0,GB,64.0,3.8,5000.0 GB
19,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3070, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,7398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
20,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3060, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,7398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
21,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 64GB RAM, 2x8TB PCIe SSD (16TB), GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Win 11 Pro) with Hub",0.0/0,0,7389.0,Intel Core i5,16 TB,64 GB,2.60 GHz,Lenovo,1,0,GB,64.0,2.6,16000.0 GB
22,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 64GB RAM, 2x8TB PCIe SSD (16TB), GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Win 10 Pro) with Hub",0.0/0,0,7369.0,Intel Core i5,16 TB,64 GB,2.60 GHz,Lenovo,1,0,GB,64.0,2.6,16000.0 GB
23,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 128GB DDR4, 2TB PCIe SSD, GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0/0,0,7348.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,1,1,GB,128.0,3.7,2000.0 GB
24,"Alienware Aurora R13 Gaming Desktop - Intel Core i7-12700F, 16GB DDR5 RAM, 512GB SSD + 1TB HDD, RTX 3060Ti 8GB GDDR6, Air Cooled, 6 Months Dell Migrate Services, Windows 11 Home - Lunar Light",3.4/5,4,1901.64,Intel Core i7,1 TB,16 GB,4.9 GHz,Alienware,0,0,GB,16.0,4.9,1000.0 GB
25,"YEYIAN Kunai X21 Gaming PC Computer, Intel 12th Gen Alder Lake i5-12600K 10-Core 3.7GHz, GeForce RTX 3060 12GB GDDR6, 1TB NVMe Gen 4 SSD, 16GB DDR4 3600MHz, 240mm AIO, WiFi 6, BT 5.2",4.4/5,62,1699.0,Intel Core i5,1 TB,16.00 GB,3.70 GHz,YEYIAN,1,0,GB,16.0,3.7,1000.0 GB
26,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD + 6TB HDD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10H)",0.0/0,0,7294.1,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0 GB
27,"2022 MSI Aegis RS 12TJ-282US Pro Extreme (i9-12900KF, 128GB RAM, 6TB NVMe SSD + 2TB HDD, RTX 3090 24GB, Windows 11) Gaming Desktop PC",0.0/0,0,7279.0,Intel Core i9,6 TB,128 GB,3.20 GHz,MSI,0,0,GB,128.0,3.2,6000.0 GB
28,"2022 MSI Aegis RS 12TJ-251US Pro Extreme (i9-12900K, 128GB RAM, 6TB NVMe SSD + 2TB HDD, RTX 3090 24GB, Windows 11) Gaming Desktop PC",0.0/0,0,7279.0,Intel Core i9,6 TB,128 GB,3.20 GHz,MSI,0,0,GB,128.0,3.2,6000.0 GB
29,"Velztorm Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled-AMD Ryzen 9-5900X 12-Core, GeForce RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD, 360mm AIO,VR Ready,750W PSU,WiFi-N,Win10Home",0.0/0,0,7278.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0 GB
30,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3060 Ti, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Home)",0.0/0,0,7128.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
31,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 32GB DDR5 4800MHz RAM, 2TB PCIe SSD+6TB HDD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0/0,0,7128.0,Intel Core i9,2 TB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,2000.0 GB
32,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10P)",0.0/0,0,7114.1,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0 GB
33,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD, GeForce RTX 3070 8GB, AC WiFi, 750W PSU, RGB Light, Win10P)",0.0/0,0,7098.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0 GB
34,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 64GB DDR4, 4TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",4.1/5,13,7088.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,1,1,GB,64.0,3.7,4000.0 GB
35,"Velztorm Lux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5950X 16-Core, 128GB, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 Ti 12GB, AC WiFi, 360mm AIO, RGB Fans, 1000W PSU, Win10P)",0.0/0,0,7069.6,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,1,GB,128.0,3.4,2000.0 GB
36,"Velztorm Ferrux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce GTX 1660 Super 4GB, WiFi-N, 240mm AIO, RGB Fans, 750W PSU, Win10P)",0.0/0,0,7048.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0 GB
37,Adamant Custom 32-Core Liquid Cooled Workstation Desktop Computer AMD Threadripper 3970X 3.7GHz TRX40 Aorus 128Gb RAM 2TB NVMe SSD 5TB HDD 1000W Toughpower PSU WiFi Bluetooth Quadro P2200 5Gb,0.0/0,0,6999.99,AMD R Series,5 TB,128 GB,3.70 GHz,Adamant,1,1,GB,128.0,3.7,5000.0 GB
38,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900K - 10 Core 5.3Ghz - 2TB SSD - 64GB RAM - 2 x Nvidia GeForce RTX 2080 Ti in SLI - Windows 10 Pro (Renewed),0.0/0,0,6999.0,Intel Core i9,2000 GB,64.00 GB,3.70 GHz,Alienware,0,0,GB,64.0,3.7,2000.0 GB
39,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900F - 5.2Ghz - 2TB 1TB SSD - 64GB RAM - Nvidia GeForce RTX 2080 Ti - Windows 10 Home (Renewed),0.0/0,0,6999.0,Intel Core i9,2000 GB,64.00 GB,2.80 GHz,Alienware,0,0,GB,64.0,2.8,2000.0 GB
40,"Velztorm Ballizta Gaming Custom Desktop (AMD Ryzen 9-5950X 16-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,6998.0,AMD R Series,8 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,8000.0 GB
41,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 64GB DDR5 4800MHz RAM, 1TB PCIe SSD+3TB HDD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0/0,0,6948.0,Intel Core i9,1 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,1000.0 GB
42,"Velztorm Archux CTO Gaming Desktop PC Black (AMD Ryzen 7 3700X 8-Core, 128GB DDR4, 8TB PCIe SSD, Radeon RX 6700 XT 12GB, 120mm AIO, RGB Fans, 750W PSU, Win 10 Pro)",0.0/0,0,6948.0,Ryzen 7,8 TB,128 GB,3.60 GHz,Velztorm,0,0,GB,128.0,3.6,8000.0 GB
43,"Velztorm White Addux Gaming & Entertainment Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD, WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,6848.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
44,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 64GB DDR5 4800MHz RAM, 1TB PCIe SSD, 240 mm AIO, WiFi 6, BT 5.2, Win10P)",0.0/0,0,6848.0,Intel Core i9,1 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,1000.0 GB
45,"Velztorm Azcia CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD, GeForce GTX 3060 12GB, VR Ready, 240mm AIO, RGB Fans, 750W PSU, WiFi, Win10P)",0.0/0,0,6848.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0 GB
46,"Velztorm Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled-AMD Ryzen 9-5900X 12-Core, GeForce RTX 3090 24GB, 64GB DDR4, 4TB PCIe SSD, 360mm AIO,VR Ready,750W PSU,WiFi-N,Win10Pro",0.0/0,0,6838.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,1,GB,64.0,3.7,4000.0 GB
47,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 64GB DDR4, 4TB PCIe SSD, GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0/0,0,6788.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,1,1,GB,64.0,3.7,4000.0 GB
48,"Velztorm Lux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5950X 16-Core, 128GB, 2TB PCIe SSD, GeForce RTX 3080 Ti 12GB, AC WiFi, 360mm AIO, RGB Fans, 1000W PSU, Win10P)",0.0/0,0,6769.6,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,1,GB,128.0,3.4,2000.0 GB
49,"Velztorm Ferrux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, 128GB DDR4, 8TB PCIe SSD, GeForce GTX 1660 Super 4GB, WiFi-N, 240mm AIO, RGB Fans, 750W PSU, Win10P)",0.0/0,0,6748.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0 GB
52,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 128GB DDR4, 2TB PCIe SSD+6TB HDD (3.5), GeForce RTX 3080 TI 12GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0/0,0,6748.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,1,1,GB,128.0,3.7,2000.0 GB
53,Adamant Custom 24-Core Workstation Desktop Computer PC System AMD Ryzen Threadripper 3960X 3.8Ghz ROG Strix 256Gb DDR4 RAM 8TB HDD 2TB NVMe SSD 1000W PSU GeForce RTX 2060 6Gb,0.0/0,0,6699.99,AMD R Series,8 TB,256 GB,3.80 GHz,ASUS ROG,0,0,GB,256.0,3.8,8000.0 GB
54,"Velztorm Ballizta Gaming Custom Desktop (AMD Ryzen 9-5950X 16-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,6698.0,AMD R Series,8 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,8000.0 GB
55,"Velztorm White Ferrux CTO Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, GeForce GTX 1050 Ti 4GB, 128GB DDR4, 8TB PCIe SSD + 6TB HDD, RGB Fans, 750W PSU, Wi-Fi 4, Win 10 Pro)",0.0/0,0,6698.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0 GB
56,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 32GB DDR5 4800MHz RAM, 512GB PCIe SSD+1TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10P)",0.0/0,0,6678.0,Intel Core i9,512 GB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,512.0 GB
57,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16 Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11P)",0.0/0,0,6648.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0 GB
58,"Velztorm Azcia Gaming Desktop PC (AMD Ryzen 7-5800X 8-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD (3.5), WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,6598.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,0,GB,128.0,3.8,8000.0 GB
59,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 32GB DDR5 4800MHz RAM, 512GB PCIe SSD+2TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10H)",0.0/0,0,6598.0,Intel Core i9,512 GB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,512.0 GB
60,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 64GB DDR4, 4TB PCIe SSD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10P)",0.0/0,0,6554.1,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,1,GB,64.0,3.7,4000.0 GB
61,"Velztorm White Addux Gaming & Entertainment Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD, WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0/0,0,6548.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0 GB
62,"Velztorm Galax CTO SFF Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, RTX 3080 Ti 12GB, 128GB DDR4, 2TB PCIe SSD + 6TB HDD (3.5), WiFi-N, RGB Fans, 750W PSU, Black, Win 10 Pro)",0.0/0,0,6548.0,Ryzen 7,2 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,2000.0 GB
63,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3090 24GB, 32GB DDR5 4800MHz RAM, 1TB PCIe SSD + 6TB HDD, 360 mm AIO, 1000W PSU, WiFi 6, BT 5.2, Win10P)",0.0/0,0,6528.0,Intel Core i9,1 TB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,1000.0 GB
64,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11H)",0.0/0,0,6528.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0 GB
65,Adamant Custom 16-Core Modelling Rendering Workstation Desktop Computer AMD Ryzen 9 5950X 3.4GHz X570 Rog Strix 128Gb DDR4 2TB NVMe PCIe 4.0 SSD 10TB HDD 1000W Toughpower PSU Geforce RTX 3090,0.0/0,0,6499.99,AMD R Series,10 TB,128 GB,3.40 GHz,Adamant,0,0,GB,128.0,3.4,10000.0 GB
66,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900KF - 10 Core 5.3Ghz - 2TB SSD + 2TB - 64GB RAM - Nvidia GeForce RTX 3090 - Windows 10 Home (Renewed),0.0/0,0,6499.0,Intel Core i9,2000 GB,64.00 GB,3.70 GHz,Alienware,0,0,GB,64.0,3.7,2000.0 GB
67,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 2TB PCIe SSD+3TB HDD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win10P)",0.0/0,0,6448.0,Intel Core i9,2 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,2000.0 GB
68,"Velztorm Pilum CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 7-3700X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), AMD Radeon 6600XT 8GB, 120mm AIO, RGB Fans, 750W PSU WiFi-N, Win10P)",0.0/0,0,6430.0,Ryzen 7,8 TB,128 GB,3.60 GHz,Velztorm,0,1,GB,128.0,3.6,8000.0 GB
69,"Velztorm White Ferrux CTO Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, GeForce GTX 1050 Ti 4GB, 128GB DDR4, 8TB PCIe SSD, RGB Fans, 750W PSU, Wi-Fi 4, Win 10 Pro)",0.0/0,0,6398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0 GB
70,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 2TB PCIe SSD+3TB HDD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win10H)",0.0/0,0,6328.0,Intel Core i9,2 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,2000.0 GB
71,"Velztorm Nix Custom Built Gaming Desktop PC Snow White (AMD Ryzen 5 5600X 6-Core, 64GB RAM, 4TB PCIe SSD, Radeon RX 6900 XT, 1xUSB 3.2, 3xUSB 3.0, 1xHDMI, Win 10 Home)",0.0/0,0,6318.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,0,GB,64.0,3.7,4000.0 GB
72,Adamant Custom 16-Core Modelling Rendering Workstation Desktop Computer AMD Ryzen 9 5950X 3.4GHz X570 Rog Strix 128Gb DDR4 1TB NVMe PCIe 4.0 SSD 8TB HDD 1000W Toughpower PSU Geforce RTX 3090,0.0/0,0,6299.99,AMD R Series,8 TB,128 GB,3.40 GHz,Adamant,0,0,GB,128.0,3.4,8000.0 GB
73,"MSI Aegis RS 12TD-260 Gaming & Entertainment Desktop PC (Intel i7-12700K 12-Core, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, GeForce RTX 3070, WiFi, Win 11 Pro) with MS 365 Personal, Hub",0.0/0,0,6299.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0 GB
74,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 10GB, 10GB, AC WiFi, 750W PSU, RGB Light, W10P)",0.0/0,0,6298.0,Ryzen 7,2 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,2000.0 GB
75,"MSI Aegis RS 12TD-260 Gaming & Entertainment Desktop PC (Intel i7-12700K 12-Core, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, GeForce RTX 3070, WiFi, Win 10 Pro) with MS 365 Personal, Hub",0.0/0,0,6279.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0 GB
