,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
16,Adamant Custom 24-Core Video Editing Rendering Modelling Workstation Desktop Computer System AMD Threadripper 3960X 3.8Ghz Rog Strix 64Gb DDR4 5TB HDD 1TB NVMe SSD 1000W GeForce RTX 3090 24Gb,0.0,0,7399.99,AMD R Series,5 TB,64 GB,3.80 GHz,Adamant,0,0,GB,64.0,3.8,5000.0
17,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3070, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,7398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
18,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3060, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,7398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
19,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 64GB RAM, 2x8TB PCIe SSD (16TB), GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Win 11 Pro) with Hub",0.0,0,7389.0,Intel Core i5,16 TB,64 GB,2.60 GHz,Lenovo,1,0,GB,64.0,2.6,16000.0
20,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 64GB RAM, 2x8TB PCIe SSD (16TB), GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Win 10 Pro) with Hub",0.0,0,7369.0,Intel Core i5,16 TB,64 GB,2.60 GHz,Lenovo,1,0,GB,64.0,2.6,16000.0
21,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 128GB DDR4, 2TB PCIe SSD, GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0,0,7348.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,1,1,GB,128.0,3.7,2000.0
22,"Alienware Aurora R13 Gaming Desktop - Intel Core i7-12700F, 16GB DDR5 RAM, 512GB SSD + 1TB HDD, RTX 3060Ti 8GB GDDR6, Air Cooled, 6 Months Dell Migrate Services, Windows 11 Home - Lunar Light",0.6799999999999999,4,1901.64,Intel Core i7,1 TB,16 GB,4.9 GHz,Alienware,0,0,GB,16.0,4.9,1000.0
23,"YEYIAN Kunai X21 Gaming PC Computer, Intel 12th Gen Alder Lake i5-12600K 10-Core 3.7GHz, GeForce RTX 3060 12GB GDDR6, 1TB NVMe Gen 4 SSD, 16GB DDR4 3600MHz, 240mm AIO, WiFi 6, BT 5.2",0.8800000000000001,62,1699.0,Intel Core i5,1 TB,16.00 GB,3.70 GHz,YEYIAN,1,0,GB,16.0,3.7,1000.0
24,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD + 6TB HDD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10H)",0.0,0,7294.1,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0
25,"2022 MSI Aegis RS 12TJ-282US Pro Extreme (i9-12900KF, 128GB RAM, 6TB NVMe SSD + 2TB HDD, RTX 3090 24GB, Windows 11) Gaming Desktop PC",0.0,0,7279.0,Intel Core i9,6 TB,128 GB,3.20 GHz,MSI,0,0,GB,128.0,3.2,6000.0
26,"2022 MSI Aegis RS 12TJ-251US Pro Extreme (i9-12900K, 128GB RAM, 6TB NVMe SSD + 2TB HDD, RTX 3090 24GB, Windows 11) Gaming Desktop PC",0.0,0,7279.0,Intel Core i9,6 TB,128 GB,3.20 GHz,MSI,0,0,GB,128.0,3.2,6000.0
27,"Velztorm Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled-AMD Ryzen 9-5900X 12-Core, GeForce RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD, 360mm AIO,VR Ready,750W PSU,WiFi-N,Win10Home",0.0,0,7278.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0
28,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3060 Ti, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Home)",0.0,0,7128.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
29,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 32GB DDR5 4800MHz RAM, 2TB PCIe SSD+6TB HDD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0,0,7128.0,Intel Core i9,2 TB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,2000.0
30,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 128GB DDR4, 2TB PCIe SSD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10P)",0.0,0,7114.1,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,2000.0
31,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD, GeForce RTX 3070 8GB, AC WiFi, 750W PSU, RGB Light, Win10P)",0.0,0,7098.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0
32,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 64GB DDR4, 4TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.82,13,7088.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,1,1,GB,64.0,3.7,4000.0
33,"Velztorm Lux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5950X 16-Core, 128GB, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 Ti 12GB, AC WiFi, 360mm AIO, RGB Fans, 1000W PSU, Win10P)",0.0,0,7069.6,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,1,GB,128.0,3.4,2000.0
34,"Velztorm Ferrux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce GTX 1660 Super 4GB, WiFi-N, 240mm AIO, RGB Fans, 750W PSU, Win10P)",0.0,0,7048.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0
35,Adamant Custom 32-Core Liquid Cooled Workstation Desktop Computer AMD Threadripper 3970X 3.7GHz TRX40 Aorus 128Gb RAM 2TB NVMe SSD 5TB HDD 1000W Toughpower PSU WiFi Bluetooth Quadro P2200 5Gb,0.0,0,6999.99,AMD R Series,5 TB,128 GB,3.70 GHz,Adamant,1,1,GB,128.0,3.7,5000.0
36,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900K - 10 Core 5.3Ghz - 2TB SSD - 64GB RAM - 2 x Nvidia GeForce RTX 2080 Ti in SLI - Windows 10 Pro (Renewed),0.0,0,6999.0,Intel Core i9,2000 GB,64.00 GB,3.70 GHz,Alienware,0,0,GB,64.0,3.7,2000.0
37,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900F - 5.2Ghz - 2TB 1TB SSD - 64GB RAM - Nvidia GeForce RTX 2080 Ti - Windows 10 Home (Renewed),0.0,0,6999.0,Intel Core i9,2000 GB,64.00 GB,2.80 GHz,Alienware,0,0,GB,64.0,2.8,2000.0
38,"Velztorm Ballizta Gaming Custom Desktop (AMD Ryzen 9-5950X 16-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,6998.0,AMD R Series,8 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,8000.0
39,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 64GB DDR5 4800MHz RAM, 1TB PCIe SSD+3TB HDD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0,0,6948.0,Intel Core i9,1 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,1000.0
40,"Velztorm Archux CTO Gaming Desktop PC Black (AMD Ryzen 7 3700X 8-Core, 128GB DDR4, 8TB PCIe SSD, Radeon RX 6700 XT 12GB, 120mm AIO, RGB Fans, 750W PSU, Win 10 Pro)",0.0,0,6948.0,Ryzen 7,8 TB,128 GB,3.60 GHz,Velztorm,0,0,GB,128.0,3.6,8000.0
41,"Velztorm White Addux Gaming & Entertainment Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD, WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,6848.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
42,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 64GB DDR5 4800MHz RAM, 1TB PCIe SSD, 240 mm AIO, WiFi 6, BT 5.2, Win10P)",0.0,0,6848.0,Intel Core i9,1 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,1000.0
43,"Velztorm Azcia CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD, GeForce GTX 3060 12GB, VR Ready, 240mm AIO, RGB Fans, 750W PSU, WiFi, Win10P)",0.0,0,6848.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0
44,"Velztorm Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled-AMD Ryzen 9-5900X 12-Core, GeForce RTX 3090 24GB, 64GB DDR4, 4TB PCIe SSD, 360mm AIO,VR Ready,750W PSU,WiFi-N,Win10Pro",0.0,0,6838.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,1,GB,64.0,3.7,4000.0
45,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 64GB DDR4, 4TB PCIe SSD, GeForce RTX 3090 24GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0,0,6788.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,1,1,GB,64.0,3.7,4000.0
46,"Velztorm Lux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5950X 16-Core, 128GB, 2TB PCIe SSD, GeForce RTX 3080 Ti 12GB, AC WiFi, 360mm AIO, RGB Fans, 1000W PSU, Win10P)",0.0,0,6769.6,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,1,GB,128.0,3.4,2000.0
47,"Velztorm Ferrux CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, 128GB DDR4, 8TB PCIe SSD, GeForce GTX 1660 Super 4GB, WiFi-N, 240mm AIO, RGB Fans, 750W PSU, Win10P)",0.0,0,6748.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0
