iter	RMSE
0	1503.277403
1	1495.401683
2	1487.924767
3	1480.371508
4	1472.655625
5	1465.122567
6	1458.161617
7	1450.783726
8	1443.251356
9	1436.228475
10	1429.074037
11	1421.859422
12	1414.957149
13	1407.706705
14	1400.939881
15	1394.099083
16	1387.185648
17	1380.31686
18	1373.554717
19	1367.059823
20	1360.704132
21	1354.007875
22	1347.406363
23	1340.935425
24	1334.610441
25	1328.036798
26	1321.704699
27	1315.472167
28	1309.281034
29	1303.074974
30	1296.627442
31	1290.675791
32	1284.521823
33	1278.475976
34	1272.719131
35	1266.91118
36	1261.137291
37	1255.041964
38	1249.623872
39	1243.752133
40	1237.902985
41	1232.050604
42	1226.688533
43	1220.77155
44	1214.809007
45	1209.534265
46	1204.267703
47	1198.930474
48	1193.535053
49	1188.555952
50	1183.451266
51	1178.117985
52	1173.16217
53	1167.741548
54	1162.866774
55	1157.615816
56	1152.884533
57	1147.988321
58	1143.193454
59	1138.541098
60	1133.471459
61	1128.655914
62	1123.814326
63	1119.211277
64	1114.657832
65	1110.258082
66	1105.894364
67	1101.300345
68	1096.706796
69	1092.295196
70	1087.699627
71	1083.538846
72	1079.239561
73	1074.763226
74	1070.401847
75	1066.258237
76	1062.408102
77	1058.124249
78	1054.165309
79	1050.078588
80	1045.958468
81	1041.988631
82	1038.114896
83	1033.88735
84	1029.974352
85	1026.010296
86	1021.837009
87	1018.182141
88	1014.714831
89	1011.345262
90	1007.644747
91	1003.986959
92	1000.108891
93	996.7890987
94	993.2022668
95	989.6575406
96	986.5443213
97	982.9998977
98	979.4404297
99	975.8953397
100	972.4802543
101	969.1161651
102	965.7190912
103	962.0812922
104	958.7002629
105	955.2850625
106	951.9417273
107	948.5313883
108	945.2632499
109	941.8636657
110	938.4821728
111	935.2587057
112	931.988667
113	929.1421367
114	926.2649836
115	923.0183267
116	919.9198166
117	916.8880029
118	913.9092414
119	910.8878819
120	907.9592462
121	905.0063018
122	902.0215617
123	899.11639
124	896.3381561
125	893.2748122
126	890.4897358
127	887.6849304
128	885.1525764
129	882.3790675
130	879.6262691
131	876.7376094
132	873.9510341
133	870.978958
134	868.0439952
135	865.3524637
136	862.840673
137	860.1191229
138	857.78028
139	855.4593931
140	853.0463083
141	850.4256049
142	848.2485947
143	845.6430006
144	843.1795722
145	840.7736813
146	838.2216883
147	835.820989
148	833.3537474
149	830.9250453
150	828.4815321
151	826.1993576
152	823.9196298
153	821.6442625
154	819.4703718
155	817.1978094
156	815.0056803
157	812.9461304
158	811.0990342
159	809.0317004
160	806.9183527
161	804.8364974
162	802.9281269
163	801.0518254
164	798.9603787
165	797.1150284
166	794.8712663
167	792.8031402
168	790.7655004
169	788.7376141
170	786.8305175
171	784.7409817
172	782.726669
173	780.6394156
174	778.6366428
175	776.6762287
176	774.7391337
177	773.0373241
178	771.3054613
179	769.7352037
180	767.9320182
181	766.1691032
182	764.6821125
183	762.9119949
184	761.2251681
185	759.8545001
186	758.1093239
187	756.185256
188	754.4212691
189	752.686155
190	751.0090147
191	749.2758128
192	747.8393149
193	746.1974487
194	744.5326954
195	742.9123405
196	741.3503961
197	739.7329755
198	738.0252521
199	736.7487482
200	735.1873308
201	733.6754051
202	732.1387052
203	730.6062905
204	728.9969108
205	727.6026922
206	726.2088697
207	724.8764684
208	723.3071682
209	721.8166132
210	720.2822748
211	718.680166
212	717.4002791
213	716.1083395
214	714.682667
215	713.248398
216	712.1311813
217	710.7181083
218	709.2471199
219	707.8142703
220	706.8147079
221	705.3603146
222	703.9511726
223	702.5209474
224	701.3097972
225	700.1554435
226	698.9636842
227	697.8085787
228	696.7223363
229	695.4651019
230	694.1472761
231	692.9082486
232	691.7189356
233	690.3977473
234	689.2148102
235	688.0924724
236	687.0588428
237	685.9709838
238	685.0315611
239	684.0380102
240	682.8808494
241	681.7864098
242	680.7363726
243	679.5964086
244	678.3693705
245	677.2345758
246	676.3285562
247	675.1592001
248	674.2060666
249	673.2000605
250	672.1703712
251	671.1940436
252	670.1430379
253	669.3861405
254	668.3433477
255	667.4595215
256	666.4665511
257	665.4230261
258	664.5383508
259	663.5346042
260	662.6921018
261	661.6660489
262	660.7700316
263	659.7400963
264	658.7023656
265	657.9174179
266	656.8980762
267	655.9137206
268	654.953199
269	653.9941455
270	653.0069383
271	652.3400774
272	651.5714018
273	650.8332171
274	649.9018694
275	648.9374536
276	648.0566579
277	647.3294647
278	646.5200297
279	645.7666653
280	644.9631824
281	644.2759965
282	643.3320063
283	642.5560678
284	641.7335718
285	640.9446732
286	640.0556398
287	639.4071969
288	638.5439307
289	637.8291409
290	637.0277813
291	636.2461709
292	635.3604164
293	634.5935592
294	633.969659
295	633.2748779
296	632.5339483
297	631.7696963
298	631.0371856
299	630.4097581
300	629.8098957
301	628.9293427
302	628.1638404
303	627.4367519
304	626.7508561
305	626.1903823
306	625.5435447
307	624.764705
308	623.9287334
309	623.3318746
310	622.7459375
311	622.1285699
312	621.3897084
313	620.7361739
314	620.0546304
315	619.490889
316	618.79107
317	618.1930604
318	617.6231897
319	617.0822604
320	616.4304158
321	615.8346411
322	615.2672474
323	614.6825868
324	614.1636402
325	613.6007024
326	612.9564054
327	612.3600166
328	611.7892673
329	611.1637706
330	610.6284828
331	610.0454223
332	609.5314019
333	609.0845234
334	608.5612461
335	607.9338391
336	607.3979122
337	606.8760363
338	606.2739811
339	605.7918565
340	605.2590463
341	604.8553008
342	604.335395
343	603.8947353
344	603.4581469
345	603.0707407
346	602.6580034
347	602.1714446
348	601.6425946
349	601.1840504
350	600.6133245
351	599.9940169
352	599.4943827
353	598.9958013
354	598.4282604
355	597.949603
356	597.5696938
357	597.0912776
358	596.6611369
359	596.2654231
360	595.8761234
361	595.3425296
362	594.9225846
363	594.5062248
364	593.9640599
365	593.6003418
366	593.1262818
367	592.6193914
368	592.0740613
369	591.6834188
370	591.2938892
371	590.8359104
372	590.4203464
373	590.0165807
374	589.5488403
375	589.1693144
376	588.7516683
377	588.2088579
378	587.7723273
379	587.4782446
380	587.2114528
381	586.7081834
382	586.2924176
383	585.7886816
384	585.4379089
385	585.1263026
386	584.6919066
387	584.2147885
388	583.8202212
389	583.2504411
390	582.8730645
391	582.5353263
392	582.1760996
393	581.8144219
394	581.3948383
395	581.0583752
396	580.5745902
397	580.2508585
398	579.9286794
399	579.6357334
400	579.1904327
401	578.8636684
402	578.5186515
403	578.2321567
404	577.806412
405	577.4491555
406	577.1289987
407	576.8320085
408	576.4612009
409	576.1723289
410	575.8683727
411	575.5368443
412	575.2835458
413	574.9066896
414	574.6111264
415	574.3165815
416	574.0604597
417	573.804217
418	573.6129712
419	573.3994629
420	573.0623743
421	572.8000361
422	572.4470414
423	572.1198612
424	571.8641496
425	571.628326
426	571.3235841
427	571.0635093
428	570.6829714
429	570.4617463
430	570.1917704
431	569.8066727
432	569.5462485
433	569.2347883
434	568.9030569
435	568.6342384
436	568.3197677
437	567.9303379
438	567.7349167
439	567.4074314
440	567.1758019
441	566.8377062
442	566.5482477
443	566.1883599
444	566.0271493
445	565.695866
446	565.3424624
447	565.1799158
448	564.7044943
449	564.3473248
450	564.0085617
451	563.7903927
452	563.5385947
453	563.2570632
454	562.9789406
455	562.7981787
456	562.5088922
457	562.2549774
458	562.0455716
459	561.7869901
460	561.4511012
461	561.2236473
462	561.0158136
463	560.7850583
464	560.5839806
465	560.3368102
466	560.0972512
467	559.8050749
468	559.5976952
469	559.3806828
470	559.0821777
471	558.7962555
472	558.5680079
473	558.2912782
474	558.1028517
475	557.8820642
476	557.6652788
477	557.3627123
478	557.1516629
479	556.8998764
480	556.6858863
481	556.4186758
482	556.2385479
483	556.0225818
484	555.8931213
485	555.6263096
486	555.3197276
487	555.1500118
488	554.968272
489	554.771201
490	554.5302039
491	554.3476685
492	554.1157364
493	553.9208476
494	553.6571425
495	553.5134688
496	553.3138268
497	553.1369077
498	552.7934186
499	552.6679273
500	552.491004
501	552.2099532
502	552.0002271
503	551.7858816
504	551.5503807
505	551.3842787
506	551.2357927
507	550.9930499
508	550.8786039
509	550.7416426
510	550.5470596
511	550.3947278
512	550.1979032
513	549.9448855
514	549.8409226
515	549.6147713
516	549.4510852
517	549.1864945
518	549.022644
519	548.8546538
520	548.6817452
521	548.5550632
522	548.4473947
523	548.2195919
524	548.0314008
525	547.9178719
526	547.7723093
527	547.5001652
528	547.3152908
529	547.0477968
530	546.9201967
531	546.708177
532	546.4585792
533	546.1799157
534	546.0616921
535	545.8365412
536	545.6922372
537	545.4820799
538	545.2994169
539	545.0683544
540	544.7983026
541	544.7008943
542	544.5132269
543	544.3474589
544	544.0492601
545	543.9057542
546	543.7375336
547	543.5765946
548	543.4011304
549	543.2489356
550	543.1288297
551	542.9866244
552	542.8187785
553	542.6966282
554	542.5828643
555	542.4719194
556	542.3142886
557	542.187383
558	542.0179855
